Designator,Mid X,Mid Y,Rotation,Layer
D_L_0_0,24.00935,147.085298,90.0,bottom
D_L_0_1,43.05935,147.085298,90.0,bottom
D_L_0_10,261.1216,156.610298,90.0,bottom
D_L_0_11,280.1716,151.847798,90.0,bottom
D_L_0_12,299.2216,147.085298,90.0,bottom
D_L_0_13,318.2716,147.085298,90.0,bottom
D_L_0_2,62.10935,151.847798,90.0,bottom
D_L_0_3,81.15935,156.610298,90.0,bottom
D_L_0_4,100.20935,147.085298,90.0,bottom
D_L_0_5,119.25935,147.085298,90.0,bottom
D_L_0_8,223.0216,147.085298,90.0,bottom
D_L_0_9,242.0716,147.085298,90.0,bottom
D_L_1_0,24.00935,128.035298,90.0,bottom
D_L_1_1,43.05935,128.035298,90.0,bottom
D_L_1_10,261.1216,137.560298,90.0,bottom
D_L_1_11,280.1716,132.797798,90.0,bottom
D_L_1_12,299.2216,128.035298,90.0,bottom
D_L_1_13,318.2716,128.035298,90.0,bottom
D_L_1_2,62.10935,132.797798,90.0,bottom
D_L_1_3,81.15935,137.560298,90.0,bottom
D_L_1_4,100.20935,128.035298,90.0,bottom
D_L_1_5,119.25935,128.035298,90.0,bottom
D_L_1_8,223.0216,128.035298,90.0,bottom
D_L_1_9,242.0716,128.035298,90.0,bottom
D_L_2_0,24.00935,108.985298,90.0,bottom
D_L_2_1,43.05935,108.985298,90.0,bottom
D_L_2_10,261.1216,118.510298,90.0,bottom
D_L_2_11,280.1716,113.747798,90.0,bottom
D_L_2_12,299.2216,108.985298,90.0,bottom
D_L_2_13,318.2716,108.985298,90.0,bottom
D_L_2_2,62.10935,113.747798,90.0,bottom
D_L_2_3,81.15935,118.510298,90.0,bottom
D_L_2_4,100.20935,108.985298,90.0,bottom
D_L_2_5,119.25935,108.985298,90.0,bottom
D_L_2_6,138.30935,108.985298,90.0,bottom
D_L_2_7,203.9716,108.985298,90.0,bottom
D_L_2_8,223.0216,108.985298,90.0,bottom
D_L_2_9,242.0716,108.985298,90.0,bottom
D_L_3_0,24.00935,89.935298,90.0,bottom
D_L_3_1,43.05935,89.935298,90.0,bottom
D_L_3_10,261.1216,99.460298,90.0,bottom
D_L_3_11,280.1716,94.697798,90.0,bottom
D_L_3_12,299.2216,89.935298,90.0,bottom
D_L_3_13,318.2716,89.935298,90.0,bottom
D_L_3_2,62.10935,94.697798,90.0,bottom
